名稱,食譜,食譜用量,動態庫存量,食譜單價,"食材 ",食材用量,食材庫存,食材單價,使用菜單,總價,可製作份數
打拋雞飯-米,茉莉香米 (https://www.notion.so/237fd5adc30b800e81e4eadd24a8ce53?pvs=21),75,15000,0.051,,,0,0,打拋雞飯 (https://www.notion.so/237fd5adc30b80a99cade2247d4e6467?pvs=21),3.825,200
打拋雞飯-蛋,泰式炸蛋 (https://www.notion.so/238fd5adc30b8000b03fd842d2d39876?pvs=21),65,4940,0.072,,,0,0,打拋雞飯 (https://www.notion.so/237fd5adc30b80a99cade2247d4e6467?pvs=21),4.68,76
打拋雞飯-料,,,0,0,菜豆 (https://www.notion.so/237fd5adc30b80a0a995f2aa2c016c64?pvs=21),30,1200,0.1,,3,40
打拋雞飯-配菜,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),105,2100,0.113619047619,,,0,0,打拋雞飯 (https://www.notion.so/237fd5adc30b80a99cade2247d4e6467?pvs=21),11.929999999995,20
打拋豬飯-醬,經典打拋醬-豬 (https://www.notion.so/237fd5adc30b80039acde56f67a87c2d?pvs=21),20,5025,0.178025830258,,,0,0,打拋豬飯 (https://www.notion.so/237fd5adc30b8089a2c7c311b53e1017?pvs=21),3.56051660516,251
打拋豬飯-料,,,0,0,菜豆 (https://www.notion.so/237fd5adc30b80a0a995f2aa2c016c64?pvs=21),30,1200,0.1,,3,40
打拋豬飯-肉,,,0,0,豬絞肉 (https://www.notion.so/237fd5adc30b806793f6f97371ef65ff?pvs=21),100,3000,0.158,,15.8,30
打拋豬飯-米,茉莉香米 (https://www.notion.so/237fd5adc30b800e81e4eadd24a8ce53?pvs=21),75,15000,0.051,,,0,0,打拋豬飯 (https://www.notion.so/237fd5adc30b8089a2c7c311b53e1017?pvs=21),3.825,200
打拋豬飯-蛋,泰式炸蛋 (https://www.notion.so/238fd5adc30b8000b03fd842d2d39876?pvs=21),65,4940,0.072,,,0,0,打拋豬飯 (https://www.notion.so/237fd5adc30b8089a2c7c311b53e1017?pvs=21),4.68,76
打拋豬飯-配菜,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),105,2100,0.113619047619,,,0,0,打拋豬飯 (https://www.notion.so/237fd5adc30b8089a2c7c311b53e1017?pvs=21),11.929999999995,20
煉乳檸檬,煉乳檸檬 (https://www.notion.so/237fd5adc30b80e78989d2fa911575bd?pvs=21),300,12400,0.033838709677,,,0,0,煉乳檸檬 (https://www.notion.so/237fd5adc30b80349febea48625cd6e8?pvs=21),10.1516129031,41
泰式檸檬茶,泰式檸檬茶 (https://www.notion.so/237fd5adc30b80f1a536d30d68f2ea3c?pvs=21),300,15250,0.040245901639,,,0,0,泰式檸檬茶 (https://www.notion.so/237fd5adc30b8011b64ce8d2d31d485e?pvs=21),12.0737704917,50
泰式奶茶,泰式奶茶 (https://www.notion.so/237fd5adc30b80809cd4c1defe44a991?pvs=21),300,15635,0.037440677966,,,0,0,泰式奶茶 (https://www.notion.so/237fd5adc30b805da55ef13d53009f39?pvs=21),11.2322033898,52
泰式奶綠,泰式奶綠 (https://www.notion.so/237fd5adc30b800a9540e908077a9cc1?pvs=21),300,19470,0.050406779661,,,0,0,泰式奶綠 (https://www.notion.so/237fd5adc30b8051aaccf453656114de?pvs=21),15.1220338983,64
國寶茶,經典國寶茶 (https://www.notion.so/237fd5adc30b809b8cd4f61e3d5db55a?pvs=21),300,6600,0.0105,,,0,0,國寶茶 (https://www.notion.so/237fd5adc30b80a8ae10f8343c22f22c?pvs=21),3.15,22
茉莉香米,茉莉香米 (https://www.notion.so/237fd5adc30b800e81e4eadd24a8ce53?pvs=21),75,15000,0.051,,,0,0,茉莉香米飯 (https://www.notion.so/237fd5adc30b800a9070eed7bb5d4e02?pvs=21),3.825,200
